"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX"
"151","450","450","450","10763","10763","10763","450","450","450","5223","5223","5223","450","450","450","1344","1344","1344"
"152","453","453","453","10752","10752","10752","453","453","453","5215","5215","5215","453","453","453","1343","1343","1343"
"153","456","456","456","10744","10744","10744","456","456","456","5214","5214","5214","456","456","456","1343","1343","1343"
"154","459","459","459","10732","10732","10732","459","459","459","5207","5207","5207","459","459","459","1339","1339","1339"
"155","462","462","462","10722","10722","10722","462","462","462","5202","5202","5202","462","462","462","1335","1335","1335"
"156","465","465","465","10708","10708","10708","465","465","465","5191","5191","5191","465","465","465","1334","1334","1334"
"157","468","468","468","10697","10697","10697","468","468","468","5187","5187","5187","468","468","468","1334","1334","1334"
"158","471","471","471","10685","10685","10685","471","471","471","5183","5183","5183","471","471","471","1330","1330","1330"
"159","474","474","474","10671","10671","10671","474","474","474","5178","5178","5178","474","474","474","1330","1330","1330"
"160","477","477","477","10665","10665","10665","477","477","477","5173","5173","5173","477","477","477","1329","1329","1329"
"161","480","480","480","10656","10656","10656","480","480","480","5169","5169","5169","480","480","480","1329","1329","1329"
"162","483","483","483","10648","10648","10648","483","483","483","5160","5160","5160","483","483","483","1329","1329","1329"
"163","486","486","486","10633","10633","10633","486","486","486","5157","5157","5157","486","486","486","1328","1328","1328"
"164","489","489","489","10619","10619","10619","489","489","489","5152","5152","5152","489","489","489","1327","1327","1327"
"165","492","492","492","10606","10606","10606","492","492","492","5147","5147","5147","492","492","492","1326","1326","1326"
"166","495","495","495","10590","10590","10590","495","495","495","5143","5143","5143","495","495","495","1325","1325","1325"
