"epoch","MLconv[R=100]-ResNet101-CIFAR10-25 - _step","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - _step","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=75]-ResNet101-CIFAR10-25 - _step","LR[K=75]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=75]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=300]-ResNet101-CIFAR10-25 - _step","LR[K=300]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=300]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - _step","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - _step","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - _step","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MAX","ResNet101-CIFAR10-25 - _step","ResNet101-CIFAR10-25 - _step__MIN","ResNet101-CIFAR10-25 - _step__MAX","ResNet101-CIFAR10-25 - val_accuracy","ResNet101-CIFAR10-25 - val_accuracy__MIN","ResNet101-CIFAR10-25 - val_accuracy__MAX"
"32","64","64","64","61.7","61.7","61.7","64","64","64","68.52","68.52","68.52","64","64","64","45.2","45.2","45.2","64","64","64","26.74","26.74","26.74","64","64","64","71.09","71.09","71.09","64","64","64","51.07","51.07","51.07","64","64","64","69.47","69.47","69.47","64","64","64","65.7","65.7","65.7"
"33","66","66","66","62.14","62.14","62.14","66","66","66","70.15","70.15","70.15","66","66","66","52.61","52.61","52.61","66","66","66","44.32","44.32","44.32","66","66","66","73.9","73.9","73.9","66","66","66","56.56","56.56","56.56","66","66","66","69.08","69.08","69.08","66","66","66","64.63","64.63","64.63"
"34","68","68","68","59.2","59.2","59.2","68","68","68","43.35","43.35","43.35","68","68","68","46.45","46.45","46.45","68","68","68","56.62","56.62","56.62","68","68","68","73.62","73.62","73.62","68","68","68","60.48","60.48","60.48","68","68","68","71.13","71.13","71.13","68","68","68","65.71","65.71","65.71"
"35","70","70","70","43.32","43.32","43.32","70","70","70","69.88","69.88","69.88","70","70","70","43.88","43.88","43.88","70","70","70","59.31","59.31","59.31","70","70","70","71.62","71.62","71.62","70","70","70","61.26","61.26","61.26","70","70","70","65.9","65.9","65.9","70","70","70","66.55","66.55","66.55"
"36","72","72","72","51.39","51.39","51.39","72","72","72","72.14","72.14","72.14","72","72","72","54.06","54.06","54.06","72","72","72","57.26","57.26","57.26","72","72","72","70.66","70.66","70.66","72","72","72","61.45","61.45","61.45","72","72","72","69.83","69.83","69.83","72","72","72","68.33","68.33","68.33"
"37","74","74","74","58","58","58","74","74","74","70.91","70.91","70.91","74","74","74","53.63","53.63","53.63","74","74","74","61.12","61.12","61.12","74","74","74","72.94","72.94","72.94","74","74","74","58.88","58.88","58.88","74","74","74","67.43","67.43","67.43","74","74","74","64.56","64.56","64.56"
"38","76","76","76","61.44","61.44","61.44","76","76","76","72.58","72.58","72.58","76","76","76","49.39","49.39","49.39","76","76","76","46.38","46.38","46.38","76","76","76","66.16","66.16","66.16","76","76","76","49.2","49.2","49.2","76","76","76","67.09","67.09","67.09","76","76","76","62.34","62.34","62.34"
"39","78","78","78","64.6","64.6","64.6","78","78","78","74.73","74.73","74.73","78","78","78","56.17","56.17","56.17","78","78","78","60.25","60.25","60.25","78","78","78","72.2","72.2","72.2","78","78","78","58.3","58.3","58.3","78","78","78","69.11","69.11","69.11","78","78","78","70.22","70.22","70.22"
"40","80","80","80","65.45","65.45","65.45","80","80","80","70.95","70.95","70.95","80","80","80","52.27","52.27","52.27","80","80","80","63.28","63.28","63.28","80","80","80","73.71","73.71","73.71","80","80","80","57.53","57.53","57.53","80","80","80","71.69","71.69","71.69","80","80","80","67.25","67.25","67.25"
"41","82","82","82","66.57","66.57","66.57","82","82","82","74.51","74.51","74.51","82","82","82","56.76","56.76","56.76","82","82","82","13.6","13.6","13.6","82","82","82","75.59","75.59","75.59","82","82","82","56.62","56.62","56.62","82","82","82","73.8","73.8","73.8","82","82","82","70.72","70.72","70.72"
"42","84","84","84","62.93","62.93","62.93","84","84","84","72.68","72.68","72.68","84","84","84","57.41","57.41","57.41","84","84","84","52.36","52.36","52.36","84","84","84","74.17","74.17","74.17","84","84","84","62.1","62.1","62.1","84","84","84","70.82","70.82","70.82","84","84","84","69.39","69.39","69.39"
"43","86","86","86","66.11","66.11","66.11","86","86","86","71.85","71.85","71.85","86","86","86","50.33","50.33","50.33","86","86","86","60.91","60.91","60.91","86","86","86","73.19","73.19","73.19","86","86","86","63.71","63.71","63.71","86","86","86","71.52","71.52","71.52","86","86","86","68.92","68.92","68.92"
"44","88","88","88","62.02","62.02","62.02","88","88","88","72.8","72.8","72.8","88","88","88","56.2","56.2","56.2","88","88","88","53.99","53.99","53.99","88","88","88","75.04","75.04","75.04","88","88","88","62.66","62.66","62.66","88","88","88","69.83","69.83","69.83","88","88","88","72.36","72.36","72.36"
