"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"99","296","296","296","30595192","30595192","30595192","296","296","296","34582176","34582176","34582176","296","296","296","39919186","39919186","39919186"
"100","299","299","299","30583160","30583160","30583160","299","299","299","34572448","34572448","34572448","299","299","299","39913042","39913042","39913042"
"101","302","302","302","30572152","30572152","30572152","302","302","302","34558880","34558880","34558880","302","302","302","39910994","39910994","39910994"
"102","305","305","305","30556536","30556536","30556536","305","305","305","34557600","34557600","34557600","305","305","305","39910994","39910994","39910994"
"103","308","308","308","30540920","30540920","30540920","308","308","308","34547360","34547360","34547360","308","308","308","39908946","39908946","39908946"
"104","311","311","311","30526584","30526584","30526584","311","311","311","34540960","34540960","34540960","311","311","311","39903826","39903826","39903826"
"105","314","314","314","30515064","30515064","30515064","314","314","314","34529440","34529440","34529440","314","314","314","39903826","39903826","39903826"
"106","317","317","317","30509688","30509688","30509688","317","317","317","34523296","34523296","34523296","317","317","317","39903826","39903826","39903826"
"107","320","320","320","30490744","30490744","30490744","320","320","320","34508960","34508960","34508960","320","320","320","39903826","39903826","39903826"
"108","323","323","323","30478200","30478200","30478200","323","323","323","34503328","34503328","34503328","323","323","323","39898706","39898706","39898706"
"109","326","326","326","30456440","30456440","30456440","326","326","326","34494368","34494368","34494368","326","326","326","39897682","39897682","39897682"
"110","329","329","329","30446712","30446712","30446712","329","329","329","34485664","34485664","34485664","329","329","329","39897682","39897682","39897682"
"111","332","332","332","30431096","30431096","30431096","332","332","332","34480800","34480800","34480800","332","332","332","39895122","39895122","39895122"
"112","335","335","335","30415992","30415992","30415992","335","335","335","34470560","34470560","34470560","335","335","335","39894098","39894098","39894098"
