"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"31","0.28695","0.28695","0.28695","0.31282","0.31282","0.31282","0.00079","0.00079","0.00079","0.24116","0.24116","0.24116","0.35188","0.35188","0.35188","0.0011","0.0011","0.0011","0.29847","0.29847","0.29847","0.2649","0.2649","0.2649","0.30422","0.30422","0.30422","0.2744","0.2744","0.2744","0.38767","0.38767","0.38767","0.34908","0.34908","0.34908","0.3584","0.3584","0.3584"
"32","0.20768","0.20768","0.20768","0.27918","0.27918","0.27918","0","0","0","0.28591","0.28591","0.28591","0.34766","0.34766","0.34766","0.00476","0.00476","0.00476","0.27325","0.27325","0.27325","0.27422","0.27422","0.27422","0.28889","0.28889","0.28889","0.29977","0.29977","0.29977","0.29839","0.29839","0.29839","0.30415","0.30415","0.30415","0.37978","0.37978","0.37978"
"33","0.28747","0.28747","0.28747","0.2884","0.2884","0.2884","0.00376","0.00376","0.00376","0.24004","0.24004","0.24004","0.34175","0.34175","0.34175","0.00124","0.00124","0.00124","0.31913","0.31913","0.31913","0.33841","0.33841","0.33841","0.29248","0.29248","0.29248","0.32468","0.32468","0.32468","0.38313","0.38313","0.38313","0.36147","0.36147","0.36147","0.36025","0.36025","0.36025"
"34","0.2955","0.2955","0.2955","0.2842","0.2842","0.2842","0","0","0","0.32118","0.32118","0.32118","0.32308","0.32308","0.32308","0.00147","0.00147","0.00147","0.35399","0.35399","0.35399","0.28101","0.28101","0.28101","0.34949","0.34949","0.34949","0.30688","0.30688","0.30688","0.36542","0.36542","0.36542","0.34585","0.34585","0.34585","0.36897","0.36897","0.36897"
"35","0.33079","0.33079","0.33079","0.37303","0.37303","0.37303","0.00599","0.00599","0.00599","0.3178","0.3178","0.3178","0.38298","0.38298","0.38298","0.00028","0.00028","0.00028","0.29751","0.29751","0.29751","0.31689","0.31689","0.31689","0.34043","0.34043","0.34043","0.34908","0.34908","0.34908","0.3773","0.3773","0.3773","0.39098","0.39098","0.39098","0.37772","0.37772","0.37772"
"36","0.27573","0.27573","0.27573","0.27366","0.27366","0.27366","0.00542","0.00542","0.00542","0.34321","0.34321","0.34321","0.26333","0.26333","0.26333","0.00182","0.00182","0.00182","0.27204","0.27204","0.27204","0.31814","0.31814","0.31814","0.32492","0.32492","0.32492","0.2846","0.2846","0.2846","0.35333","0.35333","0.35333","0.34896","0.34896","0.34896","0.37981","0.37981","0.37981"
"37","0.28324","0.28324","0.28324","0.31177","0.31177","0.31177","0.01002","0.01002","0.01002","0.32871","0.32871","0.32871","0.34556","0.34556","0.34556","0.0076","0.0076","0.0076","0.33223","0.33223","0.33223","0.37789","0.37789","0.37789","0.29694","0.29694","0.29694","0.38861","0.38861","0.38861","0.38834","0.38834","0.38834","0.39249","0.39249","0.39249","0.37269","0.37269","0.37269"
"38","0.30893","0.30893","0.30893","0.28283","0.28283","0.28283","0.00344","0.00344","0.00344","0.31454","0.31454","0.31454","0.29834","0.29834","0.29834","0.00526","0.00526","0.00526","0.30842","0.30842","0.30842","0.27988","0.27988","0.27988","0.3279","0.3279","0.3279","0.29239","0.29239","0.29239","0.39472","0.39472","0.39472","0.35119","0.35119","0.35119","0.38463","0.38463","0.38463"
"39","0.3676","0.3676","0.3676","0.30698","0.30698","0.30698","0.00567","0.00567","0.00567","0.34118","0.34118","0.34118","0.36829","0.36829","0.36829","0.0051","0.0051","0.0051","0.34868","0.34868","0.34868","0.26599","0.26599","0.26599","0.24787","0.24787","0.24787","0.34727","0.34727","0.34727","0.39001","0.39001","0.39001","0.39525","0.39525","0.39525","0.37879","0.37879","0.37879"
"40","0.33535","0.33535","0.33535","0.31567","0.31567","0.31567","0","0","0","0.34733","0.34733","0.34733","0.3735","0.3735","0.3735","0.00006","0.00006","0.00006","0.33109","0.33109","0.33109","0.35833","0.35833","0.35833","0.36158","0.36158","0.36158","0.32682","0.32682","0.32682","0.38063","0.38063","0.38063","0.39326","0.39326","0.39326","0.36186","0.36186","0.36186"
"41","0.28891","0.28891","0.28891","0.28628","0.28628","0.28628","0","0","0","0.35422","0.35422","0.35422","0.34506","0.34506","0.34506","0.00334","0.00334","0.00334","0.35493","0.35493","0.35493","0.34353","0.34353","0.34353","0.33479","0.33479","0.33479","0.30279","0.30279","0.30279","0.37471","0.37471","0.37471","0.37599","0.37599","0.37599","0.35279","0.35279","0.35279"
