"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX"
"121","362","362","362","30339704","30339704","30339704","362","362","362","34372000","34372000","34372000","362","362","362","39890002","39890002","39890002"
"122","365","365","365","30328184","30328184","30328184","365","365","365","34369952","34369952","34369952","365","365","365","39888978","39888978","39888978"
"123","368","368","368","30308216","30308216","30308216","368","368","368","34358432","34358432","34358432","368","368","368","39888978","39888978","39888978"
"124","371","371","371","30301048","30301048","30301048","371","371","371","34351264","34351264","34351264","371","371","371","39887954","39887954","39887954"
"125","374","374","374","30286968","30286968","30286968","374","374","374","34342816","34342816","34342816","374","374","374","39887954","39887954","39887954"
"126","377","377","377","30279032","30279032","30279032","377","377","377","34331040","34331040","34331040","377","377","377","39885394","39885394","39885394"
"127","380","380","380","30265976","30265976","30265976","380","380","380","34327712","34327712","34327712","380","380","380","39883346","39883346","39883346"
"128","383","383","383","30260344","30260344","30260344","383","383","383","34324640","34324640","34324640","383","383","383","39883346","39883346","39883346"
"129","386","386","386","30252152","30252152","30252152","386","386","386","34321824","34321824","34321824","386","386","386","39878738","39878738","39878738"
"130","389","389","389","30235256","30235256","30235256","389","389","389","34315680","34315680","34315680","389","389","389","39877714","39877714","39877714"
"131","392","392","392","30215032","30215032","30215032","392","392","392","34312096","34312096","34312096","392","392","392","39875154","39875154","39875154"
"132","395","395","395","30204024","30204024","30204024","395","395","395","34310048","34310048","34310048","395","395","395","39875154","39875154","39875154"
"133","398","398","398","30193784","30193784","30193784","398","398","398","34297760","34297760","34297760","398","398","398","39874130","39874130","39874130"
"134","401","401","401","30175864","30175864","30175864","401","401","401","34284192","34284192","34284192","401","401","401","39869522","39869522","39869522"
"135","404","404","404","30159736","30159736","30159736","404","404","404","34278304","34278304","34278304","404","404","404","39868498","39868498","39868498"
"136","407","407","407","30149496","30149496","30149496","407","407","407","34274720","34274720","34274720","407","407","407","39865938","39865938","39865938"
"137","410","410","410","30139256","30139256","30139256","410","410","410","34267296","34267296","34267296","410","410","410","39864914","39864914","39864914"
"138","413","413","413","30135416","30135416","30135416","413","413","413","34263712","34263712","34263712","413","413","413","39864914","39864914","39864914"
"139","416","416","416","30128504","30128504","30128504","416","416","416","34262432","34262432","34262432","416","416","416","39864914","39864914","39864914"
"140","419","419","419","30099832","30099832","30099832","419","419","419","34257568","34257568","34257568","419","419","419","39863890","39863890","39863890"
"141","422","422","422","30084216","30084216","30084216","422","422","422","34248608","34248608","34248608","422","422","422","39858770","39858770","39858770"
"142","425","425","425","30075768","30075768","30075768","425","425","425","34244512","34244512","34244512","425","425","425","39856210","39856210","39856210"
"143","428","428","428","30060408","30060408","30060408","428","428","428","34240160","34240160","34240160","428","428","428","39853650","39853650","39853650"
"144","431","431","431","30047096","30047096","30047096","431","431","431","34235808","34235808","34235808","431","431","431","39843922","39843922","39843922"
"145","434","434","434","30031992","30031992","30031992","434","434","434","34232480","34232480","34232480","434","434","434","39841362","39841362","39841362"
"146","437","437","437","30013560","30013560","30013560","437","437","437","34226848","34226848","34226848","437","437","437","39837778","39837778","39837778"
"147","440","440","440","29999736","29999736","29999736","440","440","440","34220960","34220960","34220960","440","440","440","39836754","39836754","39836754"
"148","443","443","443","29984120","29984120","29984120","443","443","443","34216352","34216352","34216352","443","443","443","39836754","39836754","39836754"
"149","446","446","446","29971320","29971320","29971320","446","446","446","34209440","34209440","34209440","446","446","446","39836754","39836754","39836754"
"150","449","449","449","29964152","29964152","29964152","449","449","449","34205600","34205600","34205600","449","449","449","39831634","39831634","39831634"
"151","452","452","452","29953144","29953144","29953144","452","452","452","34205088","34205088","34205088","452","452","452","39826514","39826514","39826514"
"152","455","455","455","29937272","29937272","29937272","455","455","455","34192288","34192288","34192288","455","455","455","39823954","39823954","39823954"
"153","458","458","458","29928056","29928056","29928056","458","458","458","34191776","34191776","34191776","458","458","458","39823954","39823954","39823954"
"154","461","461","461","29914232","29914232","29914232","461","461","461","34182048","34182048","34182048","461","461","461","39815250","39815250","39815250"
"155","464","464","464","29901432","29901432","29901432","464","464","464","34174880","34174880","34174880","464","464","464","39809618","39809618","39809618"
"156","467","467","467","29883512","29883512","29883512","467","467","467","34161056","34161056","34161056","467","467","467","39808594","39808594","39808594"
"157","470","470","470","29868920","29868920","29868920","470","470","470","34157216","34157216","34157216","470","470","470","39808594","39808594","39808594"
"158","473","473","473","29854584","29854584","29854584","473","473","473","34151584","34151584","34151584","473","473","473","39801426","39801426","39801426"
"159","476","476","476","29838456","29838456","29838456","476","476","476","34144416","34144416","34144416","476","476","476","39801426","39801426","39801426"
"160","479","479","479","29830520","29830520","29830520","479","479","479","34135712","34135712","34135712","479","479","479","39798866","39798866","39798866"
"161","482","482","482","29818488","29818488","29818488","482","482","482","34130080","34130080","34130080","482","482","482","39798866","39798866","39798866"
"162","485","485","485","29809528","29809528","29809528","485","485","485","34116256","34116256","34116256","485","485","485","39798866","39798866","39798866"
"163","488","488","488","29788280","29788280","29788280","488","488","488","34111392","34111392","34111392","488","488","488","39797842","39797842","39797842"
"164","491","491","491","29772152","29772152","29772152","491","491","491","34105248","34105248","34105248","491","491","491","39796818","39796818","39796818"
"165","494","494","494","29758072","29758072","29758072","494","494","494","34099360","34099360","34099360","494","494","494","39795794","39795794","39795794"
"166","497","497","497","29737848","29737848","29737848","497","497","497","34095264","34095264","34095264","497","497","497","39794770","39794770","39794770"
"167","500","500","500","29726840","29726840","29726840","500","500","500","34087584","34087584","34087584","500","500","500","39789650","39789650","39789650"
"168","503","503","503","29710968","29710968","29710968","503","503","503","34081952","34081952","34081952","503","503","503","39789650","39789650","39789650"
"169","506","506","506","29699704","29699704","29699704","506","506","506","34077856","34077856","34077856","506","506","506","39784530","39784530","39784530"
"170","509","509","509","29689976","29689976","29689976","509","509","509","34071712","34071712","34071712","509","509","509","39779410","39779410","39779410"
"171","512","512","512","29673848","29673848","29673848","512","512","512","34063520","34063520","34063520","512","512","512","39779410","39779410","39779410"
"172","515","515","515","29661560","29661560","29661560","515","515","515","34052768","34052768","34052768","515","515","515","39779410","39779410","39779410"
"173","518","518","518","29652088","29652088","29652088","518","518","518","34043552","34043552","34043552","518","518","518","39776850","39776850","39776850"
"174","521","521","521","29635960","29635960","29635960","521","521","521","34031008","34031008","34031008","521","521","521","39776850","39776850","39776850"
"175","524","524","524","29613944","29613944","29613944","524","524","524","34026144","34026144","34026144","524","524","524","39775826","39775826","39775826"
"176","527","527","527","29602424","29602424","29602424","527","527","527","34022560","34022560","34022560","527","527","527","39775826","39775826","39775826"
"177","530","530","530","29590392","29590392","29590392","530","530","530","34017184","34017184","34017184","530","530","530","39772242","39772242","39772242"
"178","533","533","533","29576056","29576056","29576056","533","533","533","34005920","34005920","34005920","533","533","533","39771218","39771218","39771218"
"179","536","536","536","29567864","29567864","29567864","536","536","536","34001568","34001568","34001568","536","536","536","39770194","39770194","39770194"
"180","539","539","539","29557624","29557624","29557624","539","539","539","33995424","33995424","33995424","539","539","539","39769170","39769170","39769170"
"181","542","542","542","29547896","29547896","29547896","542","542","542","33985696","33985696","33985696","542","542","542","39768146","39768146","39768146"
"182","545","545","545","29525112","29525112","29525112","545","545","545","33975968","33975968","33975968","545","545","545","39768146","39768146","39768146"
"183","548","548","548","29512824","29512824","29512824","548","548","548","33967776","33967776","33967776","548","548","548","39768146","39768146","39768146"
"184","551","551","551","29495672","29495672","29495672","551","551","551","33961376","33961376","33961376","551","551","551","39768146","39768146","39768146"
"185","554","554","554","29480568","29480568","29480568","554","554","554","33953184","33953184","33953184","554","554","554","39764562","39764562","39764562"
"186","557","557","557","29469048","29469048","29469048","557","557","557","33947040","33947040","33947040","557","557","557","39762002","39762002","39762002"
"187","560","560","560","29453176","29453176","29453176","560","560","560","33934240","33934240","33934240","560","560","560","39758930","39758930","39758930"
