"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=43]-Resnet101-CIFAR10 - _step","MTL[T=43]-Resnet101-CIFAR10 - _step__MIN","MTL[T=43]-Resnet101-CIFAR10 - _step__MAX","MTL[T=43]-Resnet101-CIFAR10 - model_params","MTL[T=43]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=43]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=42]-Resnet101-CIFAR10 - _step","MTL[T=42]-Resnet101-CIFAR10 - _step__MIN","MTL[T=42]-Resnet101-CIFAR10 - _step__MAX","MTL[T=42]-Resnet101-CIFAR10 - model_params","MTL[T=42]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=42]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=4]-Resnet101-CIFAR10 - _step","MTL[T=4]-Resnet101-CIFAR10 - _step__MIN","MTL[T=4]-Resnet101-CIFAR10 - _step__MAX","MTL[T=4]-Resnet101-CIFAR10 - model_params","MTL[T=4]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=4]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=3]-Resnet101-CIFAR10 - _step","MTL[T=3]-Resnet101-CIFAR10 - _step__MIN","MTL[T=3]-Resnet101-CIFAR10 - _step__MAX","MTL[T=3]-Resnet101-CIFAR10 - model_params","MTL[T=3]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=3]-Resnet101-CIFAR10 - model_params__MAX","Resnet101-CIFAR10 - _step","Resnet101-CIFAR10 - _step__MIN","Resnet101-CIFAR10 - _step__MAX","Resnet101-CIFAR10 - model_params","Resnet101-CIFAR10 - model_params__MIN","Resnet101-CIFAR10 - model_params__MAX","MTL[T=16]-Resnet101-CIFAR10 - _step","MTL[T=16]-Resnet101-CIFAR10 - _step__MIN","MTL[T=16]-Resnet101-CIFAR10 - _step__MAX","MTL[T=16]-Resnet101-CIFAR10 - model_params","MTL[T=16]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=16]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=15]-Resnet101-CIFAR10 - _step","MTL[T=15]-Resnet101-CIFAR10 - _step__MIN","MTL[T=15]-Resnet101-CIFAR10 - _step__MAX","MTL[T=15]-Resnet101-CIFAR10 - model_params","MTL[T=15]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=15]-Resnet101-CIFAR10 - model_params__MAX"
"165","494","494","494","29758072","29758072","29758072","329","329","329","29938048","29938048","29938048","329","329","329","30462328","30462328","30462328","494","494","494","34099360","34099360","34099360","494","494","494","39795794","39795794","39795794","329","329","329","38326356","38326356","38326356","329","329","329","40423506","40423506","40423506","329","329","329","42520650","42520650","42520650","329","329","329","34656424","34656424","34656424","329","329","329","35180704","35180704","35180704"
"166","497","497","497","29737848","29737848","29737848","331","331","331","29938048","29938048","29938048","331","331","331","30462328","30462328","30462328","497","497","497","34095264","34095264","34095264","497","497","497","39794770","39794770","39794770","331","331","331","38326356","38326356","38326356","331","331","331","40423506","40423506","40423506","331","331","331","42520650","42520650","42520650","331","331","331","34656424","34656424","34656424","331","331","331","35180704","35180704","35180704"
"167","500","500","500","29726840","29726840","29726840","333","333","333","29938048","29938048","29938048","333","333","333","30462328","30462328","30462328","500","500","500","34087584","34087584","34087584","500","500","500","39789650","39789650","39789650","333","333","333","38326356","38326356","38326356","333","333","333","40423506","40423506","40423506","333","333","333","42520650","42520650","42520650","333","333","333","34656424","34656424","34656424","333","333","333","35180704","35180704","35180704"
"168","503","503","503","29710968","29710968","29710968","335","335","335","29938048","29938048","29938048","335","335","335","30462328","30462328","30462328","503","503","503","34081952","34081952","34081952","503","503","503","39789650","39789650","39789650","335","335","335","38326356","38326356","38326356","335","335","335","40423506","40423506","40423506","335","335","335","42520650","42520650","42520650","335","335","335","34656424","34656424","34656424","335","335","335","35180704","35180704","35180704"
"169","506","506","506","29699704","29699704","29699704","337","337","337","29938048","29938048","29938048","337","337","337","30462328","30462328","30462328","506","506","506","34077856","34077856","34077856","506","506","506","39784530","39784530","39784530","337","337","337","38326356","38326356","38326356","337","337","337","40423506","40423506","40423506","337","337","337","42520650","42520650","42520650","337","337","337","34656424","34656424","34656424","337","337","337","35180704","35180704","35180704"
"170","509","509","509","29689976","29689976","29689976","339","339","339","29938048","29938048","29938048","339","339","339","30462328","30462328","30462328","509","509","509","34071712","34071712","34071712","509","509","509","39779410","39779410","39779410","339","339","339","38326356","38326356","38326356","339","339","339","40423506","40423506","40423506","339","339","339","42520650","42520650","42520650","339","339","339","34656424","34656424","34656424","339","339","339","35180704","35180704","35180704"
"171","512","512","512","29673848","29673848","29673848","341","341","341","29938048","29938048","29938048","341","341","341","30462328","30462328","30462328","512","512","512","34063520","34063520","34063520","512","512","512","39779410","39779410","39779410","341","341","341","38326356","38326356","38326356","341","341","341","40423506","40423506","40423506","341","341","341","42520650","42520650","42520650","341","341","341","34656424","34656424","34656424","341","341","341","35180704","35180704","35180704"
"172","515","515","515","29661560","29661560","29661560","343","343","343","29938048","29938048","29938048","343","343","343","30462328","30462328","30462328","515","515","515","34052768","34052768","34052768","515","515","515","39779410","39779410","39779410","343","343","343","38326356","38326356","38326356","343","343","343","40423506","40423506","40423506","343","343","343","42520650","42520650","42520650","343","343","343","34656424","34656424","34656424","343","343","343","35180704","35180704","35180704"
"173","518","518","518","29652088","29652088","29652088","345","345","345","29938048","29938048","29938048","345","345","345","30462328","30462328","30462328","518","518","518","34043552","34043552","34043552","518","518","518","39776850","39776850","39776850","345","345","345","38326356","38326356","38326356","345","345","345","40423506","40423506","40423506","345","345","345","42520650","42520650","42520650","345","345","345","34656424","34656424","34656424","345","345","345","35180704","35180704","35180704"
"174","521","521","521","29635960","29635960","29635960","347","347","347","29938048","29938048","29938048","347","347","347","30462328","30462328","30462328","521","521","521","34031008","34031008","34031008","521","521","521","39776850","39776850","39776850","347","347","347","38326356","38326356","38326356","347","347","347","40423506","40423506","40423506","347","347","347","42520650","42520650","42520650","347","347","347","34656424","34656424","34656424","347","347","347","35180704","35180704","35180704"
"175","524","524","524","29613944","29613944","29613944","349","349","349","29938048","29938048","29938048","349","349","349","30462328","30462328","30462328","524","524","524","34026144","34026144","34026144","524","524","524","39775826","39775826","39775826","349","349","349","38326356","38326356","38326356","349","349","349","40423506","40423506","40423506","349","349","349","42520650","42520650","42520650","349","349","349","34656424","34656424","34656424","349","349","349","35180704","35180704","35180704"
"176","527","527","527","29602424","29602424","29602424","351","351","351","29938048","29938048","29938048","351","351","351","30462328","30462328","30462328","527","527","527","34022560","34022560","34022560","527","527","527","39775826","39775826","39775826","351","351","351","38326356","38326356","38326356","351","351","351","40423506","40423506","40423506","351","351","351","42520650","42520650","42520650","351","351","351","34656424","34656424","34656424","351","351","351","35180704","35180704","35180704"
"177","530","530","530","29590392","29590392","29590392","353","353","353","29938048","29938048","29938048","353","353","353","30462328","30462328","30462328","530","530","530","34017184","34017184","34017184","530","530","530","39772242","39772242","39772242","353","353","353","38326356","38326356","38326356","353","353","353","40423506","40423506","40423506","353","353","353","42520650","42520650","42520650","353","353","353","34656424","34656424","34656424","353","353","353","35180704","35180704","35180704"
"178","533","533","533","29576056","29576056","29576056","355","355","355","29938048","29938048","29938048","355","355","355","30462328","30462328","30462328","533","533","533","34005920","34005920","34005920","533","533","533","39771218","39771218","39771218","355","355","355","38326356","38326356","38326356","355","355","355","40423506","40423506","40423506","355","355","355","42520650","42520650","42520650","355","355","355","34656424","34656424","34656424","355","355","355","35180704","35180704","35180704"
"179","536","536","536","29567864","29567864","29567864","357","357","357","29938048","29938048","29938048","357","357","357","30462328","30462328","30462328","536","536","536","34001568","34001568","34001568","536","536","536","39770194","39770194","39770194","357","357","357","38326356","38326356","38326356","357","357","357","40423506","40423506","40423506","357","357","357","42520650","42520650","42520650","357","357","357","34656424","34656424","34656424","357","357","357","35180704","35180704","35180704"
"180","539","539","539","29557624","29557624","29557624","359","359","359","29938048","29938048","29938048","359","359","359","30462328","30462328","30462328","539","539","539","33995424","33995424","33995424","539","539","539","39769170","39769170","39769170","359","359","359","38326356","38326356","38326356","359","359","359","40423506","40423506","40423506","359","359","359","42520650","42520650","42520650","359","359","359","34656424","34656424","34656424","359","359","359","35180704","35180704","35180704"
"181","542","542","542","29547896","29547896","29547896","361","361","361","29938048","29938048","29938048","361","361","361","30462328","30462328","30462328","542","542","542","33985696","33985696","33985696","542","542","542","39768146","39768146","39768146","361","361","361","38326356","38326356","38326356","361","361","361","40423506","40423506","40423506","361","361","361","42520650","42520650","42520650","361","361","361","34656424","34656424","34656424","361","361","361","35180704","35180704","35180704"
"182","545","545","545","29525112","29525112","29525112","363","363","363","29938048","29938048","29938048","363","363","363","30462328","30462328","30462328","545","545","545","33975968","33975968","33975968","545","545","545","39768146","39768146","39768146","363","363","363","38326356","38326356","38326356","363","363","363","40423506","40423506","40423506","363","363","363","42520650","42520650","42520650","363","363","363","34656424","34656424","34656424","363","363","363","35180704","35180704","35180704"
"183","548","548","548","29512824","29512824","29512824","365","365","365","29938048","29938048","29938048","365","365","365","30462328","30462328","30462328","548","548","548","33967776","33967776","33967776","548","548","548","39768146","39768146","39768146","365","365","365","38326356","38326356","38326356","365","365","365","40423506","40423506","40423506","365","365","365","42520650","42520650","42520650","365","365","365","34656424","34656424","34656424","365","365","365","35180704","35180704","35180704"
"184","551","551","551","29495672","29495672","29495672","367","367","367","29938048","29938048","29938048","367","367","367","30462328","30462328","30462328","551","551","551","33961376","33961376","33961376","551","551","551","39768146","39768146","39768146","367","367","367","38326356","38326356","38326356","367","367","367","40423506","40423506","40423506","367","367","367","42520650","42520650","42520650","367","367","367","34656424","34656424","34656424","367","367","367","35180704","35180704","35180704"
"185","554","554","554","29480568","29480568","29480568","369","369","369","29938048","29938048","29938048","369","369","369","30462328","30462328","30462328","554","554","554","33953184","33953184","33953184","554","554","554","39764562","39764562","39764562","369","369","369","38326356","38326356","38326356","369","369","369","40423506","40423506","40423506","369","369","369","42520650","42520650","42520650","369","369","369","34656424","34656424","34656424","369","369","369","35180704","35180704","35180704"
"186","557","557","557","29469048","29469048","29469048","371","371","371","29938048","29938048","29938048","371","371","371","30462328","30462328","30462328","557","557","557","33947040","33947040","33947040","557","557","557","39762002","39762002","39762002","371","371","371","38326356","38326356","38326356","371","371","371","40423506","40423506","40423506","371","371","371","42520650","42520650","42520650","371","371","371","34656424","34656424","34656424","371","371","371","35180704","35180704","35180704"
"187","560","560","560","29453176","29453176","29453176","373","373","373","29938048","29938048","29938048","373","373","373","30462328","30462328","30462328","560","560","560","33934240","33934240","33934240","560","560","560","39758930","39758930","39758930","373","373","373","38326356","38326356","38326356","373","373","373","40423506","40423506","40423506","373","373","373","42520650","42520650","42520650","373","373","373","34656424","34656424","34656424","373","373","373","35180704","35180704","35180704"
"188","563","563","563","29439608","29439608","29439608","375","375","375","29938048","29938048","29938048","375","375","375","30462328","30462328","30462328","563","563","563","33928096","33928096","33928096","563","563","563","39758930","39758930","39758930","375","375","375","38326356","38326356","38326356","375","375","375","40423506","40423506","40423506","375","375","375","42520650","42520650","42520650","375","375","375","34656424","34656424","34656424","375","375","375","35180704","35180704","35180704"
"189","566","566","566","29426296","29426296","29426296","377","377","377","29938048","29938048","29938048","377","377","377","30462328","30462328","30462328","566","566","566","33920928","33920928","33920928","566","566","566","39752786","39752786","39752786","377","377","377","38326356","38326356","38326356","377","377","377","40423506","40423506","40423506","377","377","377","42520650","42520650","42520650","377","377","377","34656424","34656424","34656424","377","377","377","35180704","35180704","35180704"
"190","569","569","569","29406328","29406328","29406328","379","379","379","29938048","29938048","29938048","379","379","379","30462328","30462328","30462328","569","569","569","33907360","33907360","33907360","569","569","569","39752786","39752786","39752786","379","379","379","38326356","38326356","38326356","379","379","379","40423506","40423506","40423506","379","379","379","42520650","42520650","42520650","379","379","379","34656424","34656424","34656424","379","379","379","35180704","35180704","35180704"
"191","572","572","572","29396344","29396344","29396344","381","381","381","29938048","29938048","29938048","381","381","381","30462328","30462328","30462328","572","572","572","33903008","33903008","33903008","572","572","572","39746642","39746642","39746642","381","381","381","38326356","38326356","38326356","381","381","381","40423506","40423506","40423506","381","381","381","42520650","42520650","42520650","381","381","381","34656424","34656424","34656424","381","381","381","35180704","35180704","35180704"
"192","575","575","575","29380728","29380728","29380728","383","383","383","29938048","29938048","29938048","383","383","383","30462328","30462328","30462328","575","575","575","33891232","33891232","33891232","575","575","575","39743058","39743058","39743058","383","383","383","38326356","38326356","38326356","383","383","383","40423506","40423506","40423506","383","383","383","42520650","42520650","42520650","383","383","383","34656424","34656424","34656424","383","383","383","35180704","35180704","35180704"
"193","578","578","578","29366904","29366904","29366904","385","385","385","29938048","29938048","29938048","385","385","385","30462328","30462328","30462328","578","578","578","33879456","33879456","33879456","578","578","578","39740498","39740498","39740498","385","385","385","38326356","38326356","38326356","385","385","385","40423506","40423506","40423506","385","385","385","42520650","42520650","42520650","385","385","385","34656424","34656424","34656424","385","385","385","35180704","35180704","35180704"
"194","581","581","581","29348216","29348216","29348216","387","387","387","29938048","29938048","29938048","387","387","387","30462328","30462328","30462328","581","581","581","33868448","33868448","33868448","581","581","581","39736914","39736914","39736914","387","387","387","38326356","38326356","38326356","387","387","387","40423506","40423506","40423506","387","387","387","42520650","42520650","42520650","387","387","387","34656424","34656424","34656424","387","387","387","35180704","35180704","35180704"
"195","584","584","584","29328760","29328760","29328760","389","389","389","29938048","29938048","29938048","389","389","389","30462328","30462328","30462328","584","584","584","33858976","33858976","33858976","584","584","584","39736914","39736914","39736914","389","389","389","38326356","38326356","38326356","389","389","389","40423506","40423506","40423506","389","389","389","42520650","42520650","42520650","389","389","389","34656424","34656424","34656424","389","389","389","35180704","35180704","35180704"
"196","587","587","587","29309816","29309816","29309816","391","391","391","29938048","29938048","29938048","391","391","391","30462328","30462328","30462328","587","587","587","33850272","33850272","33850272","587","587","587","39736914","39736914","39736914","391","391","391","38326356","38326356","38326356","391","391","391","40423506","40423506","40423506","391","391","391","42520650","42520650","42520650","391","391","391","34656424","34656424","34656424","391","391","391","35180704","35180704","35180704"
"197","590","590","590","29289592","29289592","29289592","393","393","393","29938048","29938048","29938048","393","393","393","30462328","30462328","30462328","590","590","590","33833376","33833376","33833376","590","590","590","39734354","39734354","39734354","393","393","393","38326356","38326356","38326356","393","393","393","40423506","40423506","40423506","393","393","393","42520650","42520650","42520650","393","393","393","34656424","34656424","34656424","393","393","393","35180704","35180704","35180704"
"198","593","593","593","29274232","29274232","29274232","395","395","395","29938048","29938048","29938048","395","395","395","30462328","30462328","30462328","593","593","593","33823904","33823904","33823904","593","593","593","39734354","39734354","39734354","395","395","395","38326356","38326356","38326356","395","395","395","40423506","40423506","40423506","395","395","395","42520650","42520650","42520650","395","395","395","34656424","34656424","34656424","395","395","395","35180704","35180704","35180704"
"199","596","596","596","29261176","29261176","29261176","397","397","397","29938048","29938048","29938048","397","397","397","30462328","30462328","30462328","596","596","596","33817760","33817760","33817760","596","596","596","39733330","39733330","39733330","397","397","397","38326356","38326356","38326356","397","397","397","40423506","40423506","40423506","397","397","397","42520650","42520650","42520650","397","397","397","34656424","34656424","34656424","397","397","397","35180704","35180704","35180704"
"200","599","599","599","29248888","29248888","29248888","399","399","399","29938048","29938048","29938048","399","399","399","30462328","30462328","30462328","599","599","599","33810592","33810592","33810592","599","599","599","39731282","39731282","39731282","399","399","399","38326356","38326356","38326356","399","399","399","40423506","40423506","40423506","399","399","399","42520650","42520650","42520650","399","399","399","34656424","34656424","34656424","399","399","399","35180704","35180704","35180704"
