"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX"
"94","279","279","279","11303","11303","11303","279","279","279","5477","5477","5477","279","279","279","1403","1403","1403"
"95","282","282","282","11286","11286","11286","282","282","282","5472","5472","5472","282","282","282","1403","1403","1403"
"96","285","285","285","11272","11272","11272","285","285","285","5469","5469","5469","285","285","285","1399","1399","1399"
"97","288","288","288","11264","11264","11264","288","288","288","5461","5461","5461","288","288","288","1398","1398","1398"
"98","291","291","291","11254","11254","11254","291","291","291","5459","5459","5459","291","291","291","1396","1396","1396"
"99","294","294","294","11242","11242","11242","294","294","294","5456","5456","5456","294","294","294","1394","1394","1394"
"100","297","297","297","11231","11231","11231","297","297","297","5448","5448","5448","297","297","297","1391","1391","1391"
"101","300","300","300","11223","11223","11223","300","300","300","5441","5441","5441","300","300","300","1389","1389","1389"
"102","303","303","303","11212","11212","11212","303","303","303","5440","5440","5440","303","303","303","1389","1389","1389"
"103","306","306","306","11199","11199","11199","306","306","306","5435","5435","5435","306","306","306","1387","1387","1387"
"104","309","309","309","11187","11187","11187","309","309","309","5430","5430","5430","309","309","309","1385","1385","1385"
"105","312","312","312","11179","11179","11179","312","312","312","5424","5424","5424","312","312","312","1385","1385","1385"
"106","315","315","315","11175","11175","11175","315","315","315","5421","5421","5421","315","315","315","1385","1385","1385"
"107","318","318","318","11160","11160","11160","318","318","318","5411","5411","5411","318","318","318","1385","1385","1385"
"108","321","321","321","11150","11150","11150","321","321","321","5407","5407","5407","321","321","321","1383","1383","1383"
"109","324","324","324","11135","11135","11135","324","324","324","5400","5400","5400","324","324","324","1382","1382","1382"
"110","327","327","327","11128","11128","11128","327","327","327","5396","5396","5396","327","327","327","1382","1382","1382"
