"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"41","42.79","42.79","42.79","48.21","48.21","48.21","67.62","67.62","67.62","27.74","27.74","27.74","72.31","72.31","72.31","70.22","70.22","70.22","70.69","70.69","70.69","68.53","68.53","68.53","63.04","63.04","63.04","68.03","68.03","68.03"
"42","57.01","57.01","57.01","62.03","62.03","62.03","61.7","61.7","61.7","23.97","23.97","23.97","67.91","67.91","67.91","61.69","61.69","61.69","68.29","68.29","68.29","67.14","67.14","67.14","62.45","62.45","62.45","68.86","68.86","68.86"
"43","48.37","48.37","48.37","52.21","52.21","52.21","63.7","63.7","63.7","26.97","26.97","26.97","70.35","70.35","70.35","68.81","68.81","68.81","69.43","69.43","69.43","63.18","63.18","63.18","68.39","68.39","68.39","69.9","69.9","69.9"
"44","54.9","54.9","54.9","60.5","60.5","60.5","56.14","56.14","56.14","21.14","21.14","21.14","61.6","61.6","61.6","65.28","65.28","65.28","69.92","69.92","69.92","68.52","68.52","68.52","63.29","63.29","63.29","68.73","68.73","68.73"
"45","49.55","49.55","49.55","53.64","53.64","53.64","55.05","55.05","55.05","28.37","28.37","28.37","68.26","68.26","68.26","69.73","69.73","69.73","69.94","69.94","69.94","70.17","70.17","70.17","69.5","69.5","69.5","71","71","71"
"46","59.55","59.55","59.55","52.01","52.01","52.01","52.05","52.05","52.05","18.74","18.74","18.74","66.85","66.85","66.85","68.83","68.83","68.83","66.65","66.65","66.65","69.88","69.88","69.88","66.98","66.98","66.98","65.67","65.67","65.67"
"47","55.41","55.41","55.41","63.49","63.49","63.49","55.28","55.28","55.28","26.02","26.02","26.02","72.15","72.15","72.15","65.71","65.71","65.71","64.39","64.39","64.39","65.18","65.18","65.18","63.84","63.84","63.84","67.58","67.58","67.58"
"48","52.82","52.82","52.82","63.84","63.84","63.84","61.94","61.94","61.94","27.56","27.56","27.56","71.13","71.13","71.13","68.28","68.28","68.28","72.16","72.16","72.16","69.99","69.99","69.99","67.76","67.76","67.76","63.98","63.98","63.98"
"49","42.47","42.47","42.47","42.21","42.21","42.21","37.92","37.92","37.92","23.36","23.36","23.36","65.42","65.42","65.42","65.74","65.74","65.74","70.48","70.48","70.48","70.68","70.68","70.68","68.89","68.89","68.89","71.06","71.06","71.06"
"50","55.3","55.3","55.3","61.67","61.67","61.67","62.91","62.91","62.91","26.64","26.64","26.64","69.46","69.46","69.46","60.71","60.71","60.71","67.68","67.68","67.68","73.17","73.17","73.17","68.06","68.06","68.06","69.59","69.59","69.59"
"51","47.52","47.52","47.52","54.62","54.62","54.62","57.73","57.73","57.73","28.61","28.61","28.61","70.53","70.53","70.53","65.92","65.92","65.92","71.63","71.63","71.63","70.58","70.58","70.58","67.48","67.48","67.48","68.52","68.52","68.52"
"52","59.6","59.6","59.6","59.32","59.32","59.32","55.81","55.81","55.81","28.34","28.34","28.34","71.81","71.81","71.81","70.2","70.2","70.2","67.8","67.8","67.8","71.78","71.78","71.78","67.04","67.04","67.04","70.59","70.59","70.59"
"53","62.49","62.49","62.49","57.2","57.2","57.2","65.62","65.62","65.62","27.74","27.74","27.74","66.86","66.86","66.86","69.04","69.04","69.04","71.28","71.28","71.28","72.68","72.68","72.68","62.19","62.19","62.19","65.38","65.38","65.38"
