"Step","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MAX","Resnet101-CIFAR10 - val_accuracy","Resnet101-CIFAR10 - val_accuracy__MIN","Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MAX"
"64","69.26","69.26","69.26","26.39","26.39","26.39","55.24","55.24","55.24","36.59","36.59","36.59","72.13","72.13","72.13","67.92","67.92","67.92","72.02","72.02","72.02","60.86","60.86","60.86","69.61","69.61","69.61","73.78","73.78","73.78"
"65","72.53","72.53","72.53","21.06","21.06","21.06","66.98","66.98","66.98","59.63","59.63","59.63","62.93","62.93","62.93","74.45","74.45","74.45","71.2","71.2","71.2","74.07","74.07","74.07","71.84","71.84","71.84","68.87","68.87","68.87"
"66","74.21","74.21","74.21","16.91","16.91","16.91","23.22","23.22","23.22","17.67","17.67","17.67","64.91","64.91","64.91","75.42","75.42","75.42","75.29","75.29","75.29","73.63","73.63","73.63","73.51","73.51","73.51","70.14","70.14","70.14"
"67","73.86","73.86","73.86","14.98","14.98","14.98","68.31","68.31","68.31","69.75","69.75","69.75","66.09","66.09","66.09","72.31","72.31","72.31","70.9","70.9","70.9","74.21","74.21","74.21","69.14","69.14","69.14","68.78","68.78","68.78"
"68","72.47","72.47","72.47","28.78","28.78","28.78","44.77","44.77","44.77","71.96","71.96","71.96","65.83","65.83","65.83","75.11","75.11","75.11","73.93","73.93","73.93","72.67","72.67","72.67","73.86","73.86","73.86","70.43","70.43","70.43"
"69","71.53","71.53","71.53","21.88","21.88","21.88","60.52","60.52","60.52","62.29","62.29","62.29","46.86","46.86","46.86","72.05","72.05","72.05","71.77","71.77","71.77","75.32","75.32","75.32","75.66","75.66","75.66","61.06","61.06","61.06"
"70","73.54","73.54","73.54","15.63","15.63","15.63","67.04","67.04","67.04","49.71","49.71","49.71","48.62","48.62","48.62","73.78","73.78","73.78","73.38","73.38","73.38","73.51","73.51","73.51","71.02","71.02","71.02","68.77","68.77","68.77"
"71","71.29","71.29","71.29","27.73","27.73","27.73","30.37","30.37","30.37","47.96","47.96","47.96","52.85","52.85","52.85","70.94","70.94","70.94","74.22","74.22","74.22","73.8","73.8","73.8","71.82","71.82","71.82","70.4","70.4","70.4"
"72","74.33","74.33","74.33","20.59","20.59","20.59","28.3","28.3","28.3","66.64","66.64","66.64","61.46","61.46","61.46","70.81","70.81","70.81","71.38","71.38","71.38","72.67","72.67","72.67","73.8","73.8","73.8","73.9","73.9","73.9"
"73","74.82","74.82","74.82","21.72","21.72","21.72","54.46","54.46","54.46","60.11","60.11","60.11","66.42","66.42","66.42","72.19","72.19","72.19","70.63","70.63","70.63","67.71","67.71","67.71","71.1","71.1","71.1","67.33","67.33","67.33"
"74","71.64","71.64","71.64","24.78","24.78","24.78","33.74","33.74","33.74","68.35","68.35","68.35","61.75","61.75","61.75","73.18","73.18","73.18","67.76","67.76","67.76","75.27","75.27","75.27","73.91","73.91","73.91","69.09","69.09","69.09"
"75","67.25","67.25","67.25","28.4","28.4","28.4","33.9","33.9","33.9","67.48","67.48","67.48","68.26","68.26","68.26","74.84","74.84","74.84","71.93","71.93","71.93","73.19","73.19","73.19","73.3","73.3","73.3","71.06","71.06","71.06"
"76","75.2","75.2","75.2","20.7","20.7","20.7","63.84","63.84","63.84","63.45","63.45","63.45","57.97","57.97","57.97","73.39","73.39","73.39","70.66","70.66","70.66","75.25","75.25","75.25","72.64","72.64","72.64","70.88","70.88","70.88"
"77","75.32","75.32","75.32","11.83","11.83","11.83","49.95","49.95","49.95","54.92","54.92","54.92","67.24","67.24","67.24","71.25","71.25","71.25","71.57","71.57","71.57","72.51","72.51","72.51","73.48","73.48","73.48","73.66","73.66","73.66"
"78","68.89","68.89","68.89","24.26","24.26","24.26","42.12","42.12","42.12","69.6","69.6","69.6","67.77","67.77","67.77","71.1","71.1","71.1","73.68","73.68","73.68","72.4","72.4","72.4","72.96","72.96","72.96","73.16","73.16","73.16"
