"Step","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"35","0.25555","0.25555","0.25555","0.36237","0.36237","0.36237","0.00953","0.00953","0.00953","0","0","0","0","0","0","0.39317","0.39317","0.39317","0.38236","0.38236","0.38236","0.40098","0.40098","0.40098","0.38793","0.38793","0.38793","0.41803","0.41803","0.41803"
"36","0.19866","0.19866","0.19866","0.40206","0.40206","0.40206","0.03346","0.03346","0.03346","0","0","0","0","0","0","0.40688","0.40688","0.40688","0.40437","0.40437","0.40437","0.3928","0.3928","0.3928","0.39558","0.39558","0.39558","0.4097","0.4097","0.4097"
"37","0.25945","0.25945","0.25945","0.34697","0.34697","0.34697","0.03338","0.03338","0.03338","0","0","0","0","0","0","0.35154","0.35154","0.35154","0.36005","0.36005","0.36005","0.34506","0.34506","0.34506","0.34326","0.34326","0.34326","0.40852","0.40852","0.40852"
"38","0.25561","0.25561","0.25561","0.35821","0.35821","0.35821","0","0","0","0","0","0","0","0","0","0.39829","0.39829","0.39829","0.40111","0.40111","0.40111","0.38351","0.38351","0.38351","0.38481","0.38481","0.38481","0.40082","0.40082","0.40082"
"39","0.2428","0.2428","0.2428","0.34116","0.34116","0.34116","0.03342","0.03342","0.03342","0","0","0","0","0","0","0.36561","0.36561","0.36561","0.43032","0.43032","0.43032","0.38961","0.38961","0.38961","0.38544","0.38544","0.38544","0.41414","0.41414","0.41414"
"40","0.23618","0.23618","0.23618","0.29733","0.29733","0.29733","0.0336","0.0336","0.0336","0","0","0","0","0","0","0.40845","0.40845","0.40845","0.43807","0.43807","0.43807","0.3608","0.3608","0.3608","0.35232","0.35232","0.35232","0.42708","0.42708","0.42708"
"41","0.25055","0.25055","0.25055","0.32909","0.32909","0.32909","0.03351","0.03351","0.03351","0","0","0","0","0","0","0.39849","0.39849","0.39849","0.4336","0.4336","0.4336","0.4","0.4","0.4","0.40342","0.40342","0.40342","0.40962","0.40962","0.40962"
"42","0.23618","0.23618","0.23618","0.39026","0.39026","0.39026","0.03342","0.03342","0.03342","0","0","0","0","0","0","0.39884","0.39884","0.39884","0.39088","0.39088","0.39088","0.39235","0.39235","0.39235","0.40198","0.40198","0.40198","0.40797","0.40797","0.40797"
"43","0.18076","0.18076","0.18076","0.37348","0.37348","0.37348","0.02251","0.02251","0.02251","0","0","0","0","0","0","0.40568","0.40568","0.40568","0.39927","0.39927","0.39927","0.39578","0.39578","0.39578","0.39394","0.39394","0.39394","0.45693","0.45693","0.45693"
"44","0.25129","0.25129","0.25129","0.39971","0.39971","0.39971","0.03338","0.03338","0.03338","0","0","0","0","0","0","0.40873","0.40873","0.40873","0.40947","0.40947","0.40947","0.39938","0.39938","0.39938","0.40746","0.40746","0.40746","0.42149","0.42149","0.42149"
"45","0.20444","0.20444","0.20444","0.33379","0.33379","0.33379","0.03355","0.03355","0.03355","0","0","0","0","0","0","0.43701","0.43701","0.43701","0.39936","0.39936","0.39936","0.39659","0.39659","0.39659","0.39518","0.39518","0.39518","0.42289","0.42289","0.42289"
"46","0.27808","0.27808","0.27808","0.36058","0.36058","0.36058","0.06021","0.06021","0.06021","0","0","0","0","0","0","0.40651","0.40651","0.40651","0.42036","0.42036","0.42036","0.41147","0.41147","0.41147","0.40011","0.40011","0.40011","0.44454","0.44454","0.44454"
"47","0.26287","0.26287","0.26287","0.3783","0.3783","0.3783","0.02528","0.02528","0.02528","0","0","0","0","0","0","0.40712","0.40712","0.40712","0.40044","0.40044","0.40044","0.39123","0.39123","0.39123","0.39466","0.39466","0.39466","0.40746","0.40746","0.40746"
"48","0.25558","0.25558","0.25558","0.39731","0.39731","0.39731","0.03102","0.03102","0.03102","0","0","0","0","0","0","0.46684","0.46684","0.46684","0.41176","0.41176","0.41176","0.44434","0.44434","0.44434","0.41024","0.41024","0.41024","0.43736","0.43736","0.43736"
"49","0.31223","0.31223","0.31223","0.41061","0.41061","0.41061","0.03045","0.03045","0.03045","0.00239","0.00239","0.00239","0","0","0","0.4152","0.4152","0.4152","0.41599","0.41599","0.41599","0.48403","0.48403","0.48403","0.47486","0.47486","0.47486","0.42849","0.42849","0.42849"
"50","0.29051","0.29051","0.29051","0.37707","0.37707","0.37707","0.03373","0.03373","0.03373","0","0","0","0","0","0","0.4219","0.4219","0.4219","0.44157","0.44157","0.44157","0.45438","0.45438","0.45438","0.41139","0.41139","0.41139","0.42946","0.42946","0.42946"
"51","0.28338","0.28338","0.28338","0.37352","0.37352","0.37352","0.03133","0.03133","0.03133","0","0","0","0","0","0","0.46749","0.46749","0.46749","0.44849","0.44849","0.44849","0.4414","0.4414","0.4414","0.45096","0.45096","0.45096","0.48746","0.48746","0.48746"
"52","0.29808","0.29808","0.29808","0.36845","0.36845","0.36845","0.04185","0.04185","0.04185","0","0","0","0","0","0","0.39877","0.39877","0.39877","0.45329","0.45329","0.45329","0.47355","0.47355","0.47355","0.41344","0.41344","0.41344","0.45072","0.45072","0.45072"
"53","0.3014","0.3014","0.3014","0.41798","0.41798","0.41798","0.03351","0.03351","0.03351","0","0","0","0","0","0","0.44203","0.44203","0.44203","0.4367","0.4367","0.4367","0.43299","0.43299","0.43299","0.47608","0.47608","0.47608","0.46385","0.46385","0.46385"
"54","0.27071","0.27071","0.27071","0.40955","0.40955","0.40955","0.03251","0.03251","0.03251","0.03342","0.03342","0.03342","0","0","0","0.42869","0.42869","0.42869","0.42301","0.42301","0.42301","0.41853","0.41853","0.41853","0.42793","0.42793","0.42793","0.49989","0.49989","0.49989"
"55","0.39023","0.39023","0.39023","0.42919","0.42919","0.42919","0.06489","0.06489","0.06489","0.06673","0.06673","0.06673","0.01695","0.01695","0.01695","0.45414","0.45414","0.45414","0.44752","0.44752","0.44752","0.41959","0.41959","0.41959","0.45157","0.45157","0.45157","0.45565","0.45565","0.45565"
"56","0.30684","0.30684","0.30684","0.33447","0.33447","0.33447","0.05863","0.05863","0.05863","0.03338","0.03338","0.03338","0","0","0","0.41125","0.41125","0.41125","0.46584","0.46584","0.46584","0.42859","0.42859","0.42859","0.46033","0.46033","0.46033","0.49226","0.49226","0.49226"
"57","0.34395","0.34395","0.34395","0.40254","0.40254","0.40254","0.05363","0.05363","0.05363","0.06677","0.06677","0.06677","0","0","0","0.50647","0.50647","0.50647","0.43178","0.43178","0.43178","0.41238","0.41238","0.41238","0.47714","0.47714","0.47714","0.49613","0.49613","0.49613"
