"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"35","0.38107","0.38107","0.38107","0.32286","0.32286","0.32286","0.36871","0.36871","0.36871","0.32912","0.32912","0.32912","0.34676","0.34676","0.34676","0.36237","0.36237","0.36237","0.00953","0.00953","0.00953","0","0","0","0","0","0","0.39317","0.39317","0.39317"
"36","0.43161","0.43161","0.43161","0.36407","0.36407","0.36407","0.36642","0.36642","0.36642","0.32543","0.32543","0.32543","0.39084","0.39084","0.39084","0.40206","0.40206","0.40206","0.03346","0.03346","0.03346","0","0","0","0","0","0","0.40688","0.40688","0.40688"
"37","0.369","0.369","0.369","0.36421","0.36421","0.36421","0.36165","0.36165","0.36165","0.29001","0.29001","0.29001","0.33951","0.33951","0.33951","0.34697","0.34697","0.34697","0.03338","0.03338","0.03338","0","0","0","0","0","0","0.35154","0.35154","0.35154"
"38","0.43323","0.43323","0.43323","0.40534","0.40534","0.40534","0.3796","0.3796","0.3796","0.36257","0.36257","0.36257","0.43514","0.43514","0.43514","0.35821","0.35821","0.35821","0","0","0","0","0","0","0","0","0","0.39829","0.39829","0.39829"
"39","0.43014","0.43014","0.43014","0.36771","0.36771","0.36771","0.36605","0.36605","0.36605","0.32756","0.32756","0.32756","0.42555","0.42555","0.42555","0.34116","0.34116","0.34116","0.03342","0.03342","0.03342","0","0","0","0","0","0","0.36561","0.36561","0.36561"
"40","0.41998","0.41998","0.41998","0.39974","0.39974","0.39974","0.38828","0.38828","0.38828","0.29403","0.29403","0.29403","0.39428","0.39428","0.39428","0.29733","0.29733","0.29733","0.0336","0.0336","0.0336","0","0","0","0","0","0","0.40845","0.40845","0.40845"
"41","0.43645","0.43645","0.43645","0.39472","0.39472","0.39472","0.34335","0.34335","0.34335","0.31822","0.31822","0.31822","0.41119","0.41119","0.41119","0.32909","0.32909","0.32909","0.03351","0.03351","0.03351","0","0","0","0","0","0","0.39849","0.39849","0.39849"
"42","0.39346","0.39346","0.39346","0.40134","0.40134","0.40134","0.37522","0.37522","0.37522","0.33247","0.33247","0.33247","0.39894","0.39894","0.39894","0.39026","0.39026","0.39026","0.03342","0.03342","0.03342","0","0","0","0","0","0","0.39884","0.39884","0.39884"
"43","0.39866","0.39866","0.39866","0.40752","0.40752","0.40752","0.34721","0.34721","0.34721","0.35342","0.35342","0.35342","0.39924","0.39924","0.39924","0.37348","0.37348","0.37348","0.02251","0.02251","0.02251","0","0","0","0","0","0","0.40568","0.40568","0.40568"
"44","0.41565","0.41565","0.41565","0.3758","0.3758","0.3758","0.40531","0.40531","0.40531","0.39896","0.39896","0.39896","0.41214","0.41214","0.41214","0.39971","0.39971","0.39971","0.03338","0.03338","0.03338","0","0","0","0","0","0","0.40873","0.40873","0.40873"
