"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"36","0.25009","0.25009","0.25009","0.28784","0.28784","0.28784","0.35333","0.35333","0.35333","0.36962","0.36962","0.36962","0.36114","0.36114","0.36114","0.37337","0.37337","0.37337","0.34896","0.34896","0.34896","0","0","0","0.37981","0.37981","0.37981","0","0","0"
"37","0.19897","0.19897","0.19897","0.32979","0.32979","0.32979","0.38834","0.38834","0.38834","0.37449","0.37449","0.37449","0.28523","0.28523","0.28523","0.35934","0.35934","0.35934","0.39249","0.39249","0.39249","0","0","0","0.37269","0.37269","0.37269","0","0","0"
"38","0.22606","0.22606","0.22606","0.32429","0.32429","0.32429","0.39472","0.39472","0.39472","0.323","0.323","0.323","0.32465","0.32465","0.32465","0.39272","0.39272","0.39272","0.35119","0.35119","0.35119","0","0","0","0.38463","0.38463","0.38463","0","0","0"
"39","0.26142","0.26142","0.26142","0.2739","0.2739","0.2739","0.39001","0.39001","0.39001","0.37786","0.37786","0.37786","0.32883","0.32883","0.32883","0.32829","0.32829","0.32829","0.39525","0.39525","0.39525","0","0","0","0.37879","0.37879","0.37879","0","0","0"
"40","0.29315","0.29315","0.29315","0.33939","0.33939","0.33939","0.38063","0.38063","0.38063","0.38624","0.38624","0.38624","0.33473","0.33473","0.33473","0.36466","0.36466","0.36466","0.39326","0.39326","0.39326","0","0","0","0.36186","0.36186","0.36186","0","0","0"
"41","0.25304","0.25304","0.25304","0.3252","0.3252","0.3252","0.37471","0.37471","0.37471","0.33224","0.33224","0.33224","0.24562","0.24562","0.24562","0.37764","0.37764","0.37764","0.37599","0.37599","0.37599","0","0","0","0.35279","0.35279","0.35279","0","0","0"
"42","0.30651","0.30651","0.30651","0.40579","0.40579","0.40579","0.3401","0.3401","0.3401","0.34076","0.34076","0.34076","0.32294","0.32294","0.32294","0.35504","0.35504","0.35504","0.32178","0.32178","0.32178","0","0","0","0.3226","0.3226","0.3226","0","0","0"
"43","0.3132","0.3132","0.3132","0.36165","0.36165","0.36165","0.39288","0.39288","0.39288","0.38133","0.38133","0.38133","0.31491","0.31491","0.31491","0.39558","0.39558","0.39558","0.3841","0.3841","0.3841","0","0","0","0.32715","0.32715","0.32715","0","0","0"
"44","0.31214","0.31214","0.31214","0.33966","0.33966","0.33966","0.38076","0.38076","0.38076","0.38483","0.38483","0.38483","0.29258","0.29258","0.29258","0.39938","0.39938","0.39938","0.40363","0.40363","0.40363","0","0","0","0.38043","0.38043","0.38043","0","0","0"
"45","0.31498","0.31498","0.31498","0.37842","0.37842","0.37842","0.38036","0.38036","0.38036","0.37823","0.37823","0.37823","0.28729","0.28729","0.28729","0.37851","0.37851","0.37851","0.3873","0.3873","0.3873","0","0","0","0.34625","0.34625","0.34625","0","0","0"
"46","0.27466","0.27466","0.27466","0.37523","0.37523","0.37523","0.39256","0.39256","0.39256","0.37579","0.37579","0.37579","0.31152","0.31152","0.31152","0.37802","0.37802","0.37802","0.38908","0.38908","0.38908","0","0","0","0.38126","0.38126","0.38126","0","0","0"
"47","0.33083","0.33083","0.33083","0.35488","0.35488","0.35488","0.36483","0.36483","0.36483","0.35926","0.35926","0.35926","0.35808","0.35808","0.35808","0.36803","0.36803","0.36803","0.38663","0.38663","0.38663","0","0","0","0.39636","0.39636","0.39636","0","0","0"
"48","0.2889","0.2889","0.2889","0.38613","0.38613","0.38613","0.38451","0.38451","0.38451","0.36759","0.36759","0.36759","0.31226","0.31226","0.31226","0.37717","0.37717","0.37717","0.3931","0.3931","0.3931","0","0","0","0.38544","0.38544","0.38544","0","0","0"
"49","0.3116","0.3116","0.3116","0.37748","0.37748","0.37748","0.40277","0.40277","0.40277","0.39014","0.39014","0.39014","0.37364","0.37364","0.37364","0.3646","0.3646","0.3646","0.40892","0.40892","0.40892","0","0","0","0.40556","0.40556","0.40556","0","0","0"
"50","0.3622","0.3622","0.3622","0.37786","0.37786","0.37786","0.39428","0.39428","0.39428","0.36675","0.36675","0.36675","0.36747","0.36747","0.36747","0.39487","0.39487","0.39487","0.41208","0.41208","0.41208","0","0","0","0.39381","0.39381","0.39381","0","0","0"
"51","0.33105","0.33105","0.33105","0.31769","0.31769","0.31769","0.39199","0.39199","0.39199","0.39242","0.39242","0.39242","0.34727","0.34727","0.34727","0.37472","0.37472","0.37472","0.3962","0.3962","0.3962","0","0","0","0.35824","0.35824","0.35824","0","0","0"
"52","0.33303","0.33303","0.33303","0.37361","0.37361","0.37361","0.38661","0.38661","0.38661","0.39914","0.39914","0.39914","0.34229","0.34229","0.34229","0.37736","0.37736","0.37736","0.40161","0.40161","0.40161","0","0","0","0.3973","0.3973","0.3973","0","0","0"
